5 5320 91945 2.51687 4 18.9987 19 19
10 5473 84401 2.52515 4 18.9987 19 19
15 5448 77452 2.52979 4 18.9987 19 19
20 6175 77739 2.52801 4 18.9987 19 19
25 6768 78217 2.52666 4 18.9987 19 19
30 7312 78525 2.52793 4 18.9987 19 19
35 7945 78964 2.52761 4 18.9987 19 19
40 8461 79276 2.52718 4 18.9987 19 19
45 9010 79725 2.52576 4 18.9987 19 19
50 9480 80133 2.52596 4 18.9987 19 19
55 9950 80367 2.52536 4 18.9987 19 19
60 10457 80754 2.52573 4 18.9987 19 19
65 11074 81423 2.52529 4 18.9987 19 19
70 11496 81704 2.52631 4 18.9987 19 19
75 11981 82163 2.52701 4 18.9987 19 19
80 12416 82487 2.52764 4 18.9987 19 19
85 12879 82756 2.52766 4 18.9987 19 19
90 13328 83232 2.52762 4 18.9987 19 19
95 13811 83645 2.52683 4 18.9987 19 19
100 14227 83780 2.52667 4 18.9987 19 19
105 14682 84189 2.5258 4 18.9987 19 19
110 15074 84416 2.52597 4 18.9987 19 19
115 15501 84637 2.52554 4 18.9987 19 19
120 16012 85207 2.52586 4 18.9987 19 19
125 16396 85351 2.5255 4 18.9987 19 19
130 16940 85915 2.5255 4 18.9987 19 19
135 17328 86214 2.52509 4 18.9987 19 19
140 17801 86701 2.52529 4 18.9987 19 19
145 18156 86966 2.52513 4 18.9987 19 19
150 18651 87344 2.52507 4 18.9987 19 19
155 19026 87550 2.52486 4 18.9987 19 19
160 19476 87902 2.52475 4 18.9987 19 19
165 19906 88186 2.52472 4 18.9987 19 19
170 20336 88514 2.5248 4 18.9987 19 19
175 20837 88889 2.52508 4 18.9987 19 19
180 21196 89167 2.52536 4 18.9987 19 19
185 21766 89668 2.52548 4 18.9987 19 19
190 22091 89872 2.52566 4 18.9987 19 19
195 22510 90066 2.52581 4 18.9987 19 19
200 23033 90550 2.52639 4 18.9987 19 19
205 23427 90784 2.5264 4 18.9987 19 19
210 23918 91106 2.52661 4 18.9987 19 19
215 24340 91473 2.52668 4 18.9987 19 19
220 24774 91764 2.52675 4 18.9987 19 19
225 25196 92010 2.52642 4 18.9987 19 19
230 25635 92297 2.52598 4 18.9987 19 19
235 26027 92550 2.52622 4 18.9987 19 19
240 26490 92850 2.52602 4 18.9987 19 19
245 26931 93116 2.52595 4 18.9987 19 19
250 27467 93590 2.52592 4 18.9987 19 19
255 27837 93843 2.526 4 18.9987 19 19
260 28421 94391 2.52607 4 18.9987 19 19
265 28798 94621 2.52618 4 18.9987 19 19
270 29250 94982 2.52615 4 18.9987 19 19
275 29721 95199 2.5259 4 18.9987 19 19
280 30106 95485 2.52588 4 18.9987 19 19
285 30764 96139 2.52587 4 18.9987 19 19
290 31049 96235 2.52572 4 18.9987 19 19
295 31394 96300 2.52568 4 18.9987 19 19
300 31881 96547 2.5253 4 18.9987 19 19
305 32307 96873 2.52539 4 18.9987 19 19
310 32887 97284 2.52543 4 18.9987 19 19
315 33317 97569 2.52547 4 18.9987 19 19
320 33711 97752 2.52559 4 18.9987 19 19
325 34097 97977 2.52569 4 18.9987 19 19
